subject,status,mcgill_code,mcgill_title,host_code,host_title,institution,country
MGCR,Equivalent,MGCR352,Principles of Marketing,MKTG1203,Introduction to Marketing,The University of Western Australia (UWA),Australia
MGCR,Equivalent,MGCR352,Principles of Marketing,MKTG10001,Principles of Marketing,University of Melbourne,Australia
MGCR,Equivalent,MGCR352,Principles of Marketing,MARK2012,Marketing Fundamentals,University of New South Wales (UNSW),Australia
MGCR,Equivalent,MGCR352,Principles of Marketing,MKTG1501,Foundations of Marketing,University of Queensland (UQ),Australia
MGCR,Equivalent,MGCR352,Principles of Marketing,LINGE1321,Marketing,Catholic University of Louvain,Belgium
MGCR,Equivalent,MGCR352,Principles of Marketing,MKTG396,Introduction to Marketing,Athabasca University,Canada
MGCR,Equivalent,MGCR352,Principles of Marketing,BUSI2208,Introduction to Marketing,Carleton University,Canada
MGCR,Equivalent,MGCR352,Marketing Management 1,COMM223,Marketing Management I,Concordia University,Canada
MGCR,Equivalent,MGCR352,Marketing Management 1,MARK201,Principles of Marketing,Concordia University,Canada
MGCR,Equivalent,MGCR352,Principles of Marketing,MKT2210,Fundamentals of Marketing,University of Manitoba,Canada
MGCR,Equivalent,MGCR352,Principles of Marketing,MGT250H1,Fundamentals of Marketing,University of Toronto,Canada
MGCR,Equivalent,MGCR352,Marketing Management 1,ADMS2200,Introductory Marketing,York University,Canada
MGCR,Equivalent,MGCR352,Principles of Marketing,EAA2310,Fundamentos de Marketing (Principles of Marketing),Catholic University of Chile,Chile
MGCR,Equivalent,MGCR352,Principles of Marketing,BA20010,Marketing Management,Fudan University,China
MGCR,Equivalent,MGCR352,Principles of Marketing,02832600,Principles of Marketing,Peking University,China
MGCR,Equivalent,MGCR352,Principles of Marketing,02832640,Principles of Marketing,Peking University,China
MGCR,Equivalent,MGCR352,Principles of Marketing,BU311,Marketing Management,Shanghai Jiao Tong University,China
MGCR,Equivalent,MGCR352,Principles of Marketing,BUSS2406,Marketing B,Shanghai Jiao Tong University,China
MGCR,Equivalent,MGCR352,Principles of Marketing,ADMI2301,Fundamentos de Mercadeo,University of the Andes,Colombia
MGCR,Not Equivalent,MGCR352,Principles of Marketing,42578,Advanced Business Analytics,Technical University of Denmark,Denmark
MGCR,Equivalent,MGCR352,Principles of Marketing,62177,Marketing Concepts and Strategies,Technical University of Denmark,Denmark
MGCR,Equivalent,MGCR352,Principles of Marketing,BMAN20832,Marketing,The University of Manchester,"England, UK"
MGCR,Not Equivalent,MGCR352,Principles of Marketing,MSIN0061,Global Marketing Strategy,University College London (UCL) - University of London,"England, UK"
MGCR,Equivalent,MGCR352,Principles of Marketing,MGRC10002,Principals of Marketing,University of Bristol,"England, UK"
