ANTH,1,"ANTH2XX


	
Anthropology 2XX


	
ANTV20ZL


	
Anthropology of Religion 01


	Waseda University	Japan",ANTH2XX,Anthropology 2XX,ANTV20ZL,Anthropology of Religion 01,Waseda University	Japan
ANTH,1,ANTH2XX,ANTH2XX
ANTH,1,Anthropology 2XX,Anthropology 2XX
ANTH,1,ANTV20ZL,ANTV20ZL
ANTH,1,Anthropology of Religion 01,Anthropology of Religion 01
ANTH,1,"ANTH2XX


	
Anthropology 2XX


	
ARCH30630


	
Human-Animal Relationships. Archaeologies, Ethnographies, Anthropologies


	University College Dublin	Ireland",ANTH2XX,Anthropology 2XX,ARCH30630,"Human-Animal Relationships. Archaeologies, Ethnographies, Anthropologies",University College Dublin	Ireland
ANTH,1,ANTH2XX,ANTH2XX
ANTH,1,Anthropology 2XX,Anthropology 2XX
ANTH,1,ARCH30630,ARCH30630
ANTH,1,"Human-Animal Relationships. Archaeologies, Ethnographies, Anthropologies","Human-Animal Relationships. Archaeologies, Ethnographies, Anthropologies"
ANTH,1,"ANTH2XX


	
Anthropology 2XX


	
CONSUMPTIONANTH


	
Consumption Anthropology


	Brazilian School of Public and Business Administration	Brazil",ANTH2XX,Anthropology 2XX,CONSUMPTIONANTH,Consumption Anthropology,Brazilian School of Public and Business Administration	Brazil
ANTH,1,ANTH2XX,ANTH2XX
ANTH,1,Anthropology 2XX,Anthropology 2XX
ANTH,1,CONSUMPTIONANTH,CONSUMPTIONANTH
ANTH,1,Consumption Anthropology,Consumption Anthropology
ANTH,1,"ANTH2XX


	
Anthropology 2XX


	
OEBXO2104Z


	
Body, Language, and Identity


	Charles University in Prague	Czech Republic",ANTH2XX,Anthropology 2XX,OEBXO2104Z,"Body, Language, and Identity",Charles University in Prague	Czech Republic
ANTH,1,ANTH2XX,ANTH2XX
ANTH,1,Anthropology 2XX,Anthropology 2XX
ANTH,1,OEBXO2104Z,OEBXO2104Z
ANTH,1,"Body, Language, and Identity","Body, Language, and Identity"
ANTH,1,"ANTH2XX


	
Anthropology 2XX


	
SANT28512


	
SANT285-12 Current Anthropological Research: The Class on Class: Towards an Anthropology of Capitalism


	University of Bergen	Norway",ANTH2XX,Anthropology 2XX,SANT28512,SANT285-12 Current Anthropological Research: The Class on Class: Towards an Anthropology of Capitalism,University of Bergen	Norway
ANTH,1,ANTH2XX,ANTH2XX
ANTH,1,Anthropology 2XX,Anthropology 2XX
ANTH,1,SANT28512,SANT28512
ANTH,1,SANT285-12 Current Anthropological Research: The Class on Class: Towards an Anthropology of Capitalism,SANT285-12 Current Anthropological Research: The Class on Class: Towards an Anthropology of Capitalism
ANTH,1,"ANTH2XX


	
Anthropology 2XX


	
ANTH10001


	
Anthropology: Studying Human Diversity


	University of Melbourne	Australia",ANTH2XX,Anthropology 2XX,ANTH10001,Anthropology: Studying Human Diversity,University of Melbourne	Australia
ANTH,1,ANTH2XX,ANTH2XX
ANTH,1,Anthropology 2XX,Anthropology 2XX
ANTH,1,ANTH10001,ANTH10001
ANTH,1,Anthropology: Studying Human Diversity,Anthropology: Studying Human Diversity
ANTH,1,"ANTH308


	
Political Anthropology 01.


	
08F140504


	
Contemporary Issues of Southeast Asia


	The University of Tokyo	Japan",ANTH308,Political Anthropology 01.,08F140504,Contemporary Issues of Southeast Asia,The University of Tokyo	Japan
ANTH,1,ANTH308,ANTH308
ANTH,1,Political Anthropology 01.,Political Anthropology 01.
ANTH,1,08F140504,08F140504
ANTH,1,Contemporary Issues of Southeast Asia,Contemporary Issues of Southeast Asia
ANTH,1,"ANTH322


	
Social Change in Modern Africa.


	
7312R0013Y


	
Anthropology of Urban Africa


	University of Amsterdam	Netherlands",ANTH322,Social Change in Modern Africa.,7312R0013Y,Anthropology of Urban Africa,University of Amsterdam	Netherlands
ANTH,1,ANTH322,ANTH322
ANTH,1,Social Change in Modern Africa.,Social Change in Modern Africa.
ANTH,1,7312R0013Y,7312R0013Y
ANTH,1,Anthropology of Urban Africa,Anthropology of Urban Africa
ANTH,1,"ANTH326


	
Anthropology of Latin America.


	
CISO1505


	
Contextos de América Latina y Colombia


	University of the Andes	Colombia",ANTH326,Anthropology of Latin America.,CISO1505,Contextos de América Latina y Colombia,University of the Andes	Colombia
ANTH,1,ANTH326,ANTH326
ANTH,1,Anthropology of Latin America.,Anthropology of Latin America.
ANTH,1,CISO1505,CISO1505
ANTH,1,Contextos de América Latina y Colombia,Contextos de América Latina y Colombia
ANTH,1,"ANTH326


	
Anthropology of Latin America.


	
SPAN1811


	
Latin America in Its Own Voices


	Mount Allison University	Canada",ANTH326,Anthropology of Latin America.,SPAN1811,Latin America in Its Own Voices,Mount Allison University	Canada
ANTH,1,ANTH326,ANTH326
ANTH,1,Anthropology of Latin America.,Anthropology of Latin America.
ANTH,1,SPAN1811,SPAN1811
ANTH,1,Latin America in Its Own Voices,Latin America in Its Own Voices
ANTH,1,"ANTH327


	
Anthropology of South Asia.


	
7312R0022Y


	
Anthropology of Contemporary South Asia


	University of Amsterdam	Netherlands",ANTH327,Anthropology of South Asia.,7312R0022Y,Anthropology of Contemporary South Asia,University of Amsterdam	Netherlands
ANTH,1,ANTH327,ANTH327
ANTH,1,Anthropology of South Asia.,Anthropology of South Asia.
ANTH,1,7312R0022Y,7312R0022Y
ANTH,1,Anthropology of Contemporary South Asia,Anthropology of Contemporary South Asia
ANTH,1,"ANTH327


	
Peoples of South Asia.


	
SN1101E


	
South Asia: People, Culture, Development


	National University of Singapore	Singapore",ANTH327,Peoples of South Asia.,SN1101E,"South Asia: People, Culture, Development",National University of Singapore	Singapore
ANTH,1,ANTH327,ANTH327
ANTH,1,Peoples of South Asia.,Peoples of South Asia.
ANTH,1,SN1101E,SN1101E
ANTH,1,"South Asia: People, Culture, Development","South Asia: People, Culture, Development"
ANTH,1,"ANTH338


	
Indigenous Studies of Anthropology.


	
ANTH473


	
NATIVE AMERICAN LANGUAGES AND CULTURES


	University of Maryland College Park	USA",ANTH338,Indigenous Studies of Anthropology.,ANTH473,NATIVE AMERICAN LANGUAGES AND CULTURES,University of Maryland College Park	USA
ANTH,1,ANTH338,ANTH338
ANTH,1,Indigenous Studies of Anthropology.,Indigenous Studies of Anthropology.
ANTH,1,ANTH473,ANTH473
ANTH,1,NATIVE AMERICAN LANGUAGES AND CULTURES,NATIVE AMERICAN LANGUAGES AND CULTURES
ANTH,1,"ANTH339


	
Ecological Anthropology.


	
12701


	
Introduction to Living systems


	Technical University of Denmark	Denmark",ANTH339,Ecological Anthropology.,12701,Introduction to Living systems,Technical University of Denmark	Denmark
ANTH,1,ANTH339,ANTH339
ANTH,1,Ecological Anthropology.,Ecological Anthropology.
ANTH,1,12701,12701
ANTH,1,Introduction to Living systems,Introduction to Living systems
ANTH,1,"ANTH339


	
Ecological Anthropology.


	
ANTH0188


	
Environmental Anthropology


	University College London (UCL) - University of London	England, UK",ANTH339,Ecological Anthropology.,ANTH0188,Environmental Anthropology,"University College London (UCL) - University of London	England, UK"
ANTH,1,ANTH339,ANTH339
ANTH,1,Ecological Anthropology.,Ecological Anthropology.
ANTH,1,ANTH0188,ANTH0188
ANTH,1,Environmental Anthropology,Environmental Anthropology
ANTH,1,"ANTH339


	
Ecological Anthropology.


	
ARTS3242


	
Environmental History


	University of New South Wales (UNSW)	Australia",ANTH339,Ecological Anthropology.,ARTS3242,Environmental History,University of New South Wales (UNSW)	Australia
ANTH,1,ANTH339,ANTH339
ANTH,1,Ecological Anthropology.,Ecological Anthropology.
ANTH,1,ARTS3242,ARTS3242
ANTH,1,Environmental History,Environmental History
ANTH,1,"ANTH339


	
Ecological Anthropology.


	
SANT28513


	
Current Anthropological Research: Ocean Anthropology


	University of Bergen	Norway",ANTH339,Ecological Anthropology.,SANT28513,Current Anthropological Research: Ocean Anthropology,University of Bergen	Norway
ANTH,1,ANTH339,ANTH339
ANTH,1,Ecological Anthropology.,Ecological Anthropology.
ANTH,1,SANT28513,SANT28513
ANTH,1,Current Anthropological Research: Ocean Anthropology,Current Anthropological Research: Ocean Anthropology
ANTH,1,"ANTH352


	
History of Anthropological Theory.


	
ANTH301


	
History of Anthropological Thought


	Concordia University	Canada",ANTH352,History of Anthropological Theory.,ANTH301,History of Anthropological Thought,Concordia University	Canada
ANTH,1,ANTH352,ANTH352
ANTH,1,History of Anthropological Theory.,History of Anthropological Theory.
ANTH,1,ANTH301,ANTH301
ANTH,1,History of Anthropological Thought,History of Anthropological Thought
ANTH,1,"ANTH358


	
The Process of Anthropological Research.


	
PSY100


	
General Psychology


	Santa Barbara City College	USA",ANTH358,The Process of Anthropological Research.,PSY100,General Psychology,Santa Barbara City College	USA
ANTH,1,ANTH358,ANTH358
ANTH,1,The Process of Anthropological Research.,The Process of Anthropological Research.
ANTH,1,PSY100,PSY100
ANTH,1,General Psychology,General Psychology
ANTH,1,"ANTH3XX


	
Anthropology 3XX


	
5EE503


	
Swedish Society and Everyday Life


	Uppsala University	Sweden",ANTH3XX,Anthropology 3XX,5EE503,Swedish Society and Everyday Life,Uppsala University	Sweden
ANTH,1,ANTH3XX,ANTH3XX
