code,subject,title,credits,prereq_text,prereq_codes,coreq_text,coreq_codes,restrictions,description
ECSE444,ECSE,Microprocessors,4,ECSE 324 (3-4-5),ECSE324,,,,
ECSE446,ECSE,Realistic Image Synthesis,3,"(ECSE 205 and ECSE 250) or (ECSE 202, ECSE 205, and COMP 250)",ECSE205 ECSE250 ECSE202 COMP250,,,Not open to students who have taken or are taking ECSE 546,
ECSE451,ECSE,EM Transmission and Radiation,3,ECSE 352 or ECSE 354,ECSE352 ECSE354,,,,
ECSE456,ECSE,ECSE Design Project 1,3,"ECSE 211, ECSE 322, (ECSE 323, ECSE 330) OR (CCOM 206 or WCOM 206, COMP 302, ECSE 306, ECSE 321)",ECSE211 ECSE322 ECSE323 ECSE330 CCOM206 WCOM206 COMP302 ECSE306 ECSE321,,,,
ECSE457,ECSE,ECSE Design Project 2,3,ECSE 456,ECSE456,,,,
ECSE458D1,ECSE,Capstone Design Project,3,ECSE 211 and ECSE 324 and (CCOM 206 OR WCOM 206) and (ECSE 331 or COMP 302) Students must register for both ECSE 458D1 and ECSE 458D2 No credit will be given for this course unless both ECSE 458D1 and ECSE 458D2 are successfully completed in consecutive terms,ECSE211 ECSE324 CCOM206 WCOM206 ECSE331 COMP302 ECSE458D2,,,,
ECSE458D2,ECSE,Capstone Design Project,3,ECSE 458D1 No credit will be given for this course unless both ECSE 458D1 and ECSE 458D2 are successfully completed in consecutive terms,ECSE458D1,,,,
ECSE458N1,ECSE,Capstone Design Project,3,ECSE 211 and ECSE 324 and (CCOM 206 or WCOM 206) and (ECSE 331 or COMP 302) Students must also register for ECSE 458N2 No credit will be given for this course unless both ECSE 458N1 and ECSE 458N2 are successfully completed in a twelve month period,ECSE211 ECSE324 CCOM206 WCOM206 ECSE331 COMP302 ECSE458N2,,,,
ECSE458N2,ECSE,Capstone Design Project,3,ECSE 458N1 No credit will be given for this course unless both ECSE 458N1 and ECSE 458N2 are successfully completed in a twelve month period,ECSE458N1,,,,
ECSE460,ECSE,Appareillage électrique (Electrical Power Equipment),3,ECSE 464. Taught in French. This course is offered by the Power Engineering Institute,ECSE464,,,,
